num; time; angle; duration; errorX; errorY 
1;1575;0.664842342119134;400;-0.00044195251250023215;-0.03336458614218868
2;893;1.336313429401507;400;-0.023102315230206706;-0.003009126766688547
3;1025;1.3158567706463944;400;-0.10317218541416162;0.41848828383111125
4;957;1.330421394463008;400;-0.2479667350773927;0.008034735388528946
5;888;0.8884525804555214;400;-0.05016055900882388;0.042290833103640374
6;788;0.2871688331608421;400;-0.19017683517500583;-0.1630879818899937
7;880;0.8239803579390484;400;0.07645034103675641;-0.11550191434141155
8;1013;0.22135162368400232;400;0.0029157015794297747;-0.05092636125187899
9;868;0.39534200575839407;400;-0.058681857736363696;-0.045505627625437306
10;823;0.39968002033578914;400;-0.014688998544069853;-0.020249827854378344
11;3054;1.5526235442773657;400;-0.003151295705543511;0.6012672024625924
12;1032;0.6374826358887936;400;-0.14425167183329016;-0.09228881166407016
13;823;0.6019167728371304;400;-0.04061350635647498;0.017667126188028626
14;1007;0.8878632579909166;400;0.07983926133415631;0.07167029417552118
15;1054;0.7373073073233162;400;-0.07293575248841189;0.165172546288058
16;1065;0.8893211072174797;400;0.08999246216482212;0.017575538772180543
17;944;0.09572758426275566;400;-0.1217823642504704;0.07056830785139845
18;793;0.24648316066705783;400;-0.016081596289199696;0.0223731497342418
19;1353;1.3891846381669433;400;0.20736120626518773;0.1891212242307988
20;903;0.6669796120723347;400;0.09786898429930857;0.1825970534720418
21;910;0.9809771043051664;400;-0.07156678034213959;0.0005011183293608529
22;1017;0.4289124097936137;400;0.13540593487150476;0.02877900697897906
23;929;0.7540614989582164;400;0.007883958951679815;0.011316159870607165
24;924;0.6626199369389036;400;-0.11905847717454407;-0.04799948651719063
25;882;0.815552437281268;400;-0.020335363128914374;0.035006794252701035
26;1436;0.4664239736771845;400;-0.02964946955869474;-0.09934726656250636
27;961;0.022539985962453307;400;0.03665156124701607;0.16662839851519412
28;2130;1.5190886043711;400;-0.012549671793281036;-0.37778306184655597
29;929;0.539323690194795;400;-0.028924059233820493;0.07719800870904131
30;1006;0.9434265027557779;400;-0.01105710272726701;0.07443543283869906
31;848;0.34646213635193573;400;-0.11954416329751683;0.0018265929994701335
32;1163;0.2889387183496838;400;0.101593258005784;-0.04742838789060633
33;2126;1.5010843410839583;400;-0.11594390050501269;-0.4508089781509981
34;1837;0.8160143486977391;400;0.011122220209292252;0.07192003256819701
35;1029;0.7915465770202579;400;0.17722765555295972;0.0264413235643135
36;1296;1.1464451060314167;400;0.04634230721633703;-0.050925868018250275
37;1011;1.0317877725899811;400;-0.1570958233657107;-0.08167614866793405
38;1307;1.2608591384136767;400;0.024928369177494414;0.2063854645030314
39;1356;0.3331299007013095;400;0.19535407418649586;-0.09134691557859687
40;1188;0.3786664856224171;400;0.15082620354301052;-0.05995408936490387
41;727;0.5209937828529527;400;-0.02217212879302488;-0.04835092190890555
42;607;1.3531131253500512;400;-0.15178578050550384;0.026925864522180376
43;704;0.8294349601517568;400;0.021591603185872832;0.06395482259213614
