num; time; angle; duration; errorX; errorY 
1;1512;0.5603311971933782;400;-0.11209859792949828;0.05156061756645025
2;969;0.9494890180637702;400;0.05730170372804738;-0.06865904339849305
3;1012;0.5949177173823922;400;0.05888146315196868;0.0013375306948860688
4;1131;0.7476849535380871;400;0.03780691949301118;-0.2739111488488525
5;949;0.4513810739873224;400;0.05163428814980975;0.06577865033650288
6;921;1.0662943228505886;400;-0.14570891576027056;0.012115535209008321
7;1007;0.6024985724174003;400;-0.08662681174289699;0.08676936022531168
8;848;0.4657906779043681;400;-0.010856708584844041;-0.00624185854903962
9;1063;0.7477511045543362;400;0.023163086091555152;-0.02861336272218251
10;1036;1.3010935588923485;400;-0.035253515755943265;-0.158445739578998
